Date,HDD 12,% Estimated
01-06-18,0,0
02-06-18,0,0
03-06-18,0,0
04-06-18,0,0
05-06-18,0.6,0
06-06-18,0.3,0
07-06-18,0,0
08-06-18,0,0
09-06-18,0,0
10-06-18,0,0
11-06-18,0,0
12-06-18,0,0
13-06-18,0,0
14-06-18,0,0
15-06-18,0.2,0
16-06-18,0.2,0
17-06-18,0.3,0
18-06-18,0.1,0
19-06-18,0.1,0
20-06-18,1.3,0
21-06-18,1.1,0
22-06-18,0.7,0
23-06-18,0.8,0
24-06-18,0,0
25-06-18,0,0
26-06-18,0,0
27-06-18,0,0
28-06-18,0,0
29-06-18,0,0
30-06-18,0,0
01-07-18,0,0
02-07-18,0,0
03-07-18,0,0
04-07-18,0,0
05-07-18,0,0
06-07-18,0,0
07-07-18,0,0
08-07-18,0,0
09-07-18,0,0
10-07-18,0,0
11-07-18,0,0
12-07-18,0,0
13-07-18,0,0
14-07-18,0,0
15-07-18,0,0
16-07-18,0,0
17-07-18,0,0
18-07-18,0,0
19-07-18,0,0
20-07-18,0,0
21-07-18,0,0
22-07-18,0,0
23-07-18,0,0
24-07-18,0,0
25-07-18,0,0
26-07-18,0,0
27-07-18,0,0
28-07-18,0,0
29-07-18,0,0
30-07-18,0,0
31-07-18,0,0
01-08-18,0,0
02-08-18,0,0
03-08-18,0,0
04-08-18,0,0
05-08-18,0,0
06-08-18,0,0
07-08-18,0,0
08-08-18,0,0
09-08-18,0,0
10-08-18,0,0
11-08-18,0.1,0
12-08-18,0.3,0
13-08-18,0.8,0
14-08-18,0.1,0
15-08-18,0.1,0
16-08-18,0,0
17-08-18,0,0
18-08-18,0,0
19-08-18,0,0
20-08-18,0.2,0
21-08-18,0.7,0
22-08-18,0.1,0
23-08-18,0,0
24-08-18,0,0
25-08-18,0.9,0
26-08-18,1.4,0
27-08-18,0.1,0
28-08-18,0,0
29-08-18,0.2,0
30-08-18,0,0
31-08-18,0.2,0
01-09-18,0.6,0
02-09-18,0.1,0
03-09-18,0.1,0
04-09-18,0.2,0
05-09-18,0,0
06-09-18,0,0
07-09-18,0,0
08-09-18,0,0
09-09-18,0,0
10-09-18,0,0
11-09-18,0,0
12-09-18,0.3,0
13-09-18,1,0
14-09-18,0.5,3
15-09-18,1,0
16-09-18,2.3,0
17-09-18,0.1,0
18-09-18,0,0
19-09-18,0,0
20-09-18,0,0
21-09-18,1.4,0
22-09-18,0.8,0
23-09-18,1.9,0
24-09-18,3.8,0
25-09-18,3.8,0
26-09-18,0.3,0
27-09-18,2,0
28-09-18,3.5,0
29-09-18,3.4,0
30-09-18,1.9,0
01-10-18,5.3,0
02-10-18,6.9,0
03-10-18,4.8,0
04-10-18,5.1,0
05-10-18,1.5,0
06-10-18,4.9,0
07-10-18,5.8,0
08-10-18,1.2,0
09-10-18,0,0
10-10-18,0.2,0
11-10-18,1.4,0
12-10-18,1.4,0
13-10-18,0,0
14-10-18,0,0
15-10-18,0.1,0
16-10-18,4.8,0
17-10-18,1.4,0
18-10-18,3.2,0
19-10-18,5.6,0
20-10-18,3.6,0
21-10-18,1,0
22-10-18,3.5,0
23-10-18,2.7,0
24-10-18,6.4,0
25-10-18,6.3,0
26-10-18,10,0
27-10-18,11,0
28-10-18,12.9,0
29-10-18,12.7,0
30-10-18,10.9,0
31-10-18,6.4,0
01-11-18,5.5,0
02-11-18,5.4,0
03-11-18,6.4,0
04-11-18,3.8,0
05-11-18,4.5,0
06-11-18,5.3,0
07-11-18,5,0
08-11-18,4.4,0
09-11-18,4.4,0
10-11-18,4,0
11-11-18,3.1,0
12-11-18,2.4,0
13-11-18,4.5,0
14-11-18,6.9,0
15-11-18,2.5,0
16-11-18,4.7,0
17-11-18,7.5,0
18-11-18,9.1,0
19-11-18,11.4,0
20-11-18,13.2,0
